"","SPP2","familiarity","forage_impact","forage_uncertainty","livestock_impact","livestock_uncertainty","water_impact","water_uncertainty","wildfood_impact","wildfood_uncertainty","forest_product_impact","forest_product_uncertainty","pollination_impact","pollination_uncertainty","eco_integrity_impact","eco_integrity_uncertainty","biodiversity_impact","biodiversity_uncertainty","scale_size","scale_uncertainty"
"1","canada thistle",4,-3,2,-4,2,-2,3,-4,2,-1,4,0,4,-3,2,-4,2,7,3
"2","canada thistle",3,-2,NA,-1,NA,-1,NA,-1,NA,0,NA,1,NA,-1,NA,NA,NA,6,NA
"3","canada thistle",5,-4,NA,-4,NA,-2,NA,-2,NA,-4,NA,-2,NA,-4,NA,-3,NA,6,NA
"4","canada thistle",5,-5,2,-4,3,-2,3,-3,3,-1,3,2,2,-3,3,-3,2,9,4
"5","canada thistle",5,-1,3,-1,1,-1,1,0,1,0,1,0,1,-1,2,-1,2,4,1
"6","canada thistle",4,-3,4,-4,4,0,3,-3,3,0,1,2,2,-4,3,-4,3,3,3
"7","canada thistle",4,-5,4,-4,3,0,2,0,2,0,2,1,2,0,1,-2,3,7,3
"8","canada thistle",2,-1,2,-1,2,-1,3,-1,2,-1,3,-1,3,-2,3,-1,3,4,2
"9","canada thistle",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","canada thistle",5,-2,3,-1,3,-1,2,-2,2,-1,3,-1,2,-3,2,-3,2,10,2
"11","canada thistle",3,-2,2,-2,2,-1,2,-2,3,-1,3,-1,2,-1,2,1,2,6,3
"12","canada thistle",4,-1,3,-1,3,-1,3,-1,3,-1,3,1,3,-2,3,-1,2,3,3
"13","canada thistle",5,-5,5,-5,5,-3,5,-4,4,0,4,2,4,-5,5,-5,5,9,5
"14","canada thistle",4,-3,3,-3,3,-1,5,-1,5,0,5,1,5,-1,5,-1,5,6,NA
"15","canada thistle",2,-3,2,-2,3,-2,2,-1,3,-1,3,-1,4,-2,2,-3,3,5,4
"16","canada thistle",4,-1,NA,-1,NA,-1,NA,-2,NA,-1,NA,0,NA,-4,NA,-4,NA,3,NA
"17","canada thistle",4,-2,3,-2,3,-3,3,-2,2,-1,3,-2,3,NA,NA,-3,3,NA,NA
"18","canada thistle",2,-1,NA,-1,NA,NA,2,NA,3,NA,2,NA,3,NA,3,NA,3,6,NA
"19","canada thistle",2,-4,2,-3,2,-1,3,-2,2,-1,4,1,3,-3,4,-4,2,6,2
"20","canada thistle",1,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,4,5
"21","canada thistle",2,-1,2,-1,2,1,2,1,3,1,2,1,3,1,3,1,3,2,3
"22","canada thistle",2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,4,2
"23","canada thistle",4,-1,2,-1,2,0,1,1,2,0,2,1,2,-1,2,-1,2,3,2
"24","canada thistle",5,-4,2,-3,3,0,2,-3,3,0,2,4,1,-3,2,-5,1,3,2
"25","canada thistle",4,-2,NA,-2,3,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,3,3
"26","canada thistle",5,-3,2,-2,3,0,2,-2,3,0,3,0,4,-4,2,-4,2,9,2
"27","canada thistle",3,-2,2,-2,2,-2,3,-1,4,-1,3,0,3,-1,3,-1,3,4,3
"28","canada thistle",5,-4,4,-5,5,0,2,-1,2,-3,3,-3,3,-1,2,-2,3,8,NA
"29","canada thistle",3,-1,3,-1,3,0,1,-1,3,0,1,1,2,-1,3,-1,3,7,3
"30","canada thistle",4,-3,1,-3,4,0,2,-4,2,-1,2,1,3,-1,3,-3,2,9,3
"31","canada thistle",4,-3,3,-3,3,-1,3,-1,3,-1,3,-1,3,NA,NA,NA,NA,NA,NA
"32","canada thistle",5,-1,3,-1,3,-1,2,-3,2,-1,2,-3,4,-2,3,-2,2,3,2
"33","canada thistle",5,-4,1,-4,1,-3,2,2,3,0,3,4,1,-4,1,-3,3,2,1
"34","canada thistle",3,-1,NA,-1,NA,0,NA,0,1,0,NA,-1,NA,-1,NA,-1,NA,2,NA
"35","canada thistle",5,-3,1,-1,5,0,5,-1,4,0,5,-2,5,-2,5,-4,2,6,2
"36","canada thistle",5,-3,2,-2,2,0,3,-3,3,-1,3,1,2,-1,2,-3,2,8,2
"37","canada thistle",4,-2,2,-2,3,-1,3,0,3,0,3,1,2,-2,3,-3,2,6,2
"38","canada thistle",4,-2,1,-2,1,-1,1,-2,2,0,1,0,2,-1,2,-1,2,6,2
"39","canada thistle",2,-4,NA,-4,NA,-4,NA,-4,NA,NA,1,NA,1,-4,NA,-4,NA,5,NA
"40","canada thistle",4,-4,1,-4,2,-1,4,1,3,-2,3,-1,3,-4,3,-4,2,8,2
"41","leafy spurge",4,-4,1,-4,1,-2,3,-3,2,-1,4,0,3,-4,2,-4,2,7,1
"42","leafy spurge",1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,1,NA
"43","leafy spurge",5,-3,NA,-5,NA,-3,NA,-3,NA,-4,NA,-2,NA,-4,NA,-4,NA,6,NA
"44","leafy spurge",2,-4,2,-3,3,-2,3,-3,3,-3,3,1,2,-2,3,-4,3,7,4
"45","leafy spurge",5,-1,2,-2,1,-1,1,-1,1,0,1,-1,1,-2,1,1,2,4,1
"46","leafy spurge",4,-4,4,-4,3,0,3,-1,3,0,1,0,1,-4,2,-4,3,6,3
"47","leafy spurge",4,-4,4,-4,3,0,2,-1,3,-1,2,1,2,0,1,-2,3,9,3
"48","leafy spurge",3,-4,2,-3,2,-3,2,-3,2,-3,4,-3,3,-4,3,-4,2,4,3
"49","leafy spurge",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","leafy spurge",5,-3,4,-3,4,-1,2,-2,2,-1,3,-1,3,-4,3,-3,2,10,2
"51","leafy spurge",4,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,1,2,6,3
"52","leafy spurge",3,-3,3,-1,3,-1,3,-1,3,-1,3,2,2,-2,3,-1,2,3,2
"53","leafy spurge",5,-4,5,-4,5,-2,5,-3,5,0,4,1,4,-5,5,-5,5,9,5
"54","leafy spurge",3,-4,2,-3,3,-1,5,1,5,0,5,2,5,-3,5,-2,5,10,NA
"55","leafy spurge",4,-3,3,-3,3,-2,3,-4,3,-1,3,-1,4,-3,2,-3,2,4,3
"56","leafy spurge",4,-3,NA,-2,NA,-1,NA,-3,NA,0,NA,0,NA,-4,NA,-4,NA,6,NA
"57","leafy spurge",5,-3,4,-3,5,-2,3,-1,2,-3,4,-1,3,NA,NA,-2,4,NA,NA
"58","leafy spurge",2,-1,NA,-1,NA,NA,2,NA,3,NA,2,NA,3,NA,3,NA,3,6,NA
"59","leafy spurge",3,-3,3,-2,2,-1,4,-2,2,-1,3,0,2,-2,4,-4,2,3,3
"60","leafy spurge",2,-3,3,-3,3,-1,3,-3,3,-2,3,-3,3,NA,3,-3,3,NA,NA
"61","leafy spurge",3,1,2,1,2,1,1,1,2,1,2,1,3,1,3,1,3,4,3
"62","leafy spurge",2,-1,2,-1,2,-1,2,0,1,0,1,-1,1,-1,2,-1,2,2,2
"63","leafy spurge",4,-2,2,-2,2,0,1,0,2,0,2,-1,3,-2,2,-2,2,6,1
"64","leafy spurge",4,-5,1,-5,1,-1,3,-5,1,0,1,1,3,-5,1,-5,1,7,1
"65","leafy spurge",3,-2,NA,-2,3,-1,2,-1,2,-1,2,-1,2,-2,3,-2,2,6,4
"66","leafy spurge",5,-5,1,-4,2,0,2,-3,2,0,3,-1,4,-4,2,-5,2,10,2
